Wavelength (nm),Irradiance (W/m^2 nm),Normalized,,wavelength,1.5 AM irrandiance,Normalized 1.5AM
,,,,1446,0.022492,1.57E-02
,,,,1447,0.035265,2.46E-02
,,,,1448,0.11254,7.84E-02
,,,,1449,0.099374,6.93E-02
,,,,1450,0.026699,1.86E-02
,,,,1451,0.01098,7.65E-03
,,,,1452,0.060718,4.23E-02
,,,,1453,0.079803,5.56E-02
,,,,1454,0.13384,9.33E-02
,,,,1455,0.064409,4.49E-02
,,,,1456,0.086158,6.01E-02
,,,,1457,0.11386,7.94E-02
,,,,1458,0.13273,9.25E-02
,,,,1459,0.1586,1.11E-01
,,,,1460,0.083161,5.80E-02
,,,,1461,0.087886,6.13E-02
,,,,1462,0.12708,8.86E-02
,,,,1463,0.042106,2.94E-02
,,,,1464,0.1477,1.03E-01
,,,,1465,0.090911,6.34E-02
,,,,1466,0.063498,4.43E-02
,,,,1467,0.035128,2.45E-02
,,,,1468,0.074928,5.22E-02
,,,,1469,0.092344,6.44E-02
,,,,1470,0.048397,3.37E-02
,,,,1471,0.017394,1.21E-02
,,,,1472,0.045566,3.18E-02
,,,,1473,0.068368,4.77E-02
,,,,1474,0.094765,6.61E-02
,,,,1475,0.17954,1.25E-01
,,,,1476,0.066987,4.67E-02
,,,,1477,0.067916,4.73E-02
,,,,1478,0.061825,4.31E-02
,,,,1479,0.1168,8.14E-02
,,,,1480,0.059063,4.12E-02
,,,,1481,0.11221,7.82E-02
,,,,1482,0.056967,3.97E-02
,,,,1483,0.14454,1.01E-01
,,,,1484,0.13375,9.32E-02
,,,,1485,0.12168,8.48E-02
,,,,1486,0.12008,8.37E-02
,,,,1487,0.059042,4.12E-02
,,,,1488,0.091654,6.39E-02
,,,,1489,0.18443,1.29E-01
,,,,1490,0.16993,1.18E-01
,,,,1491,0.19222,1.34E-01
,,,,1492,0.15986,1.11E-01
,,,,1493,0.17651,1.23E-01
,,,,1494,0.19794,1.38E-01
,,,,1495,0.17745,1.24E-01
,,,,1496,0.16385,1.14E-01
,,,,1497,0.22198,1.55E-01
,,,,1498,0.18437,1.29E-01
,,,,1499,0.21141,1.47E-01
,,,,1500,0.24339,1.70E-01
,,,,1501,0.25782,1.80E-01
,,,,1502,0.22688,1.58E-01
,,,,1503,0.17972,1.25E-01
,,,,1504,0.15586,1.09E-01
,,,,1505,0.17885,1.25E-01
,,,,1506,0.25026,1.74E-01
,,,,1507,0.24779,1.73E-01
,,,,1508,0.23606,1.65E-01
,,,,1509,0.18169,1.27E-01
,,,,1510,0.26269,1.83E-01
,,,,1511,0.2571,1.79E-01
,,,,1512,0.25315,1.76E-01
,,,,1513,0.23544,1.64E-01
,,,,1514,0.2193,1.53E-01
,,,,1515,0.25804,1.80E-01
,,,,1516,0.24943,1.74E-01
,,,,1517,0.24214,1.69E-01
