Molecule,Smiles,Pi system size (# atoms)
BCDT-4F,C1(=O)C2=[C]C(=C([C]=C2C(=C(C#N)C#N)/C/1=[C]/C1=[C]C2=C(C3=C([C]=C(c4c(c(c(C5=[C]C6=C(C7=C([C]=C(/[C]=C/8\C(=O)C9=[C]C(=C([C]=C9C8=C(C#N)C#N)F)F)S7)C6([C][C])[C][C])S5)c5c4nsn5)O[C][C])O[C][C])S3)C2([C][C])[C][C])S1)F)F,63
CPDT-4Cl,[C]1=C(C(=[C]C2=C1C(=C(C#N)C#N)/C(=[C]/C1=[C]C3=C(S1)C1=C(C3([C][C])[C][C])[C]=C(S1)C1=[C]C3=C(S1)C1=C(C3([C][C])[C][C])[C]=C(S1)/[C]=C\1/C(=C(C#N)C#N)C3=C(C1=O)[C]=C(C(=[C]3)Cl)Cl)/C2=O)Cl)Cl,52
BDTN-Th,C1(=O)C2=[C]S[C]=C2C(=C(C#N)C#N)/C/1=[C]/C1=[C]c2c(S1)c1c(n2[C][C]([C][C])[C][C])c2c(s1)c(c1c(c2O[C][C])sc2c1n(c1c2SC(=[C]1)/[C]=C/1\C(=O)C2=[C]S[C]=C2C1=C(C#N)C#N)[C][C]([C][C])[C][C])O[C][C],56
DTG-IW,C1(=C(SC(=[C]1)/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=C(C(=[C]2)F)F)C1=O)C1=[C]C2=C(S1)C1=C([Ge]2([C][C]([C][C])[C][C])[C][C]([C][C])[C][C])[C]=C(C2=C([C]=C(S2)/[C]=C\2/C(=C(C#N)C#N)C3=C([C]=C(C(=[C]3)F)F)C2=O)[C][C]([C][C])[C][C])S1)[C][C]([C][C])[C][C],52
NIBT_2,C12=C([C]=C3C(=[C]1)C(C1=C3SC(=[C]1)C1=[C][C]=C(c3c1nsn3)/[C]=C\1/C3=C4C(=[C][C]=C5C4=C([C]=[C]3)C(=O)N(C5=O)[C][C]([C])[C])C1=O)(C1=[C][C]=C([C]=[C]1)[C][C])C1=[C][C]=C([C]=[C]1)[C][C])C(C1=C2SC(=[C]1)C1=[C][C]=C(c2c1nsn2)/[C]=C\1/C2=C3C(=[C][C]=C4C3=C([C]=[C]2)C(=O)N(C4=O)[C][C]([C])[C])C1=O)(C1=[C][C]=C([C]=[C]1)[C][C])C1=[C][C]=C([C]=[C]1)[C][C],72
ITCC,C1(=O)C2=C(C(=C(C#N)C#N)/C/1=[C]/C1=[C]c3c(S1)c1C(C4=[C][C]=C([C][C])[C]=[C]4)(C4=[C][C]=C([C][C])[C]=[C]4)C4=C(c1s3)[C]=C1C(C3=[C][C]=C([C][C])[C]=[C]3)(C3=[C][C]=C([C][C])[C]=[C]3)c3c(C1=[C]4)sc1c3SC(=[C]1)/[C]=C\1/C(=C(C#N)C#N)C3=C(C1=O)S[C]=[C]3)[C]=[C]S2,52
BTTPC,C1(=O)C2=[C]C3=C([C]=C2C(=C(C#N)C#N)/C/1=[C]/c1sc2c(c1[C][C])sc1c2n([C][C])c2c1c1nsnc1c1c2n([C][C])c2c1sc1c2sc(c1[C][C])/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=C4C(=[C]2)SC=[C]4)C1=O)SC=[C]3,65
PCBM,c12c3C45c6c1c1c7c8c6c6c9C4(c4c%10c3c3c%11c%10c%10c%12c4c9c4c9c6c8c6c8c7c7c%13c%14c8c8c6c9c6c4c%12c4c%10c9c%11c%10c%11c9c9c4c6c8c9c%14c%11c%13c4c%10c3c2c4c17)C5(CCCC(=O)OC)c1ccccc1,58
Y1-4F,C1(=O)C2=[C]C(=C(F)[C]=C2C(=C(C#N)C#N)/C/1=[C]/C1=[C]c2c(S1)c1c(s2)c2c(n1[C][C])c1c(c3c2nn([C][C])n3)c2c(n1[C][C])c1c(s2)[C]=C(S1)/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=C(C(=[C]2)F)F)C1=O)F,59
BTA3,C12=[C]C3=C([C]=C1C1=C(C2(C2=[C][C]=C([C]=[C]2)[C])C2=[C][C]=C([C]=[C]2)[C])[C]=C(S1)C1=[C][C]=C(c2c1nn(n2)[C])/[C]=c/1\c(=O)n(c(=C(C#N)C#N)s1)[C])C(C1=C3SC(=[C]1)C1=[C][C]=C(c2c1nn(n2)[C])/[C]=c/1\c(=O)n(c(=C(C#N)C#N)s1)[C])(C1=[C][C]=C([C]=[C]1)[C])C1=[C][C]=C([C]=[C]1)[C],58
TPIC-4F,[C](=C\1/C(=C(C#N)C#N)C2=C(C1=O)[C]=C(C(=[C]2)F)F)\C1=[C]C2=C(S1)C1=C(C2(C2=[C][C]=C([C]=[C]2)[C][C])C2=[C][C]=C([C]=[C]2)[C][C])[C]=C2C(=[C]1)C(c1c2sc2c1n(c1c2SC(=[C]1)/[C]=C\1/C(=C(C#N)C#N)C2=C(C1=O)[C]=C(C(=[C]2)F)F)[C][C])(C1=[C][C]=C([C]=[C]1)[C][C])C1=[C][C]=C([C]=[C]1)[C][C],54
BTP-4Cl,C1(=O)C2=[C]C(=C(Cl)[C]=C2C(=C(C#N)C#N)/C/1=[C]/c1sc2c(c1[C][C])sc1c2n([C][C])c2c1c1nsnc1c1c2n([C][C])c2c1sc1c2sc(c1[C][C])/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=C(C(=[C]2)Cl)Cl)C1=O)Cl,59
BT6IC-HD-4Cl,C1(=O)C2=[C]C(=C([C]=C2C(=C(C#N)C#N)/C/1=[C]/c1sc2c(c1[C][C])sc1c2n([C][C]([C][C])[C])c2c1c1nsnc1c1c2n([C][C]([C][C])[C])c2c1sc1c2sc(c1[C][C])/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=C(C(=[C]2)Cl)Cl)C1=O)Cl)Cl,59
IT-4F,C1(=O)C2=C([C]=C(C(=[C]2)F)F)C(=C(C#N)C#N)/C/1=[C]/C1=[C]c2c(S1)c1C(C3=[C][C]=C([C][C])[C]=[C]3)(C3=[C][C]=C([C][C])[C]=[C]3)C3=C(c1s2)[C]=C1C(C2=[C][C]=C([C][C])[C]=[C]2)(C2=[C][C]=C([C][C])[C]=[C]2)c2c(C1=[C]3)sc1c2SC(=[C]1)/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=C(C(=[C]2)F)F)C1=O,54
BCDT-4Cl,C1(=O)C2=[C]C(=C([C]=C2C(=C(C#N)C#N)/C/1=[C]/C1=[C]C2=C(C3=C([C]=C(c4c(c(c(C5=[C]C6=C(C7=C([C]=C(/[C]=C/8\C(=O)C9=[C]C(=C([C]=C9C8=C(C#N)C#N)Cl)Cl)S7)C6([C][C])[C][C])S5)c5c4nsn5)O[C][C])O[C][C])S3)C2([C][C])[C][C])S1)Cl)Cl,63
AQx,C1(=O)C2=[C]C(=C(F)[C]=C2C(=C(C#N)C#N)/C/1=[C]/c1sc2c(c1[C][C])sc1c2n([C][C])c2c1c1nc([C])c([C])nc1c1c2n([C][C])c2c1sc1c2sc(c1[C][C])/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=C(C(=[C]2)F)F)C1=O)F,60
Y11,C1(=O)C2=[C]C(=C(F)[C]=C2C(=C(C#N)C#N)/C/1=[C]/c1sc2c(c1[C][C])sc1c2n([C][C])c2c1c1nn([C][C])nc1c1c2n([C][C])c2c1sc1c2sc(c1[C][C])/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=C(C(=[C]2)F)F)C1=O)F,59
EH-IDTBR,S1C(=S)N([C][C])C(=O)/C/1=[C]/C1=[C][C]=C(c2c1nsn2)C1=[C]C2=C(S1)C1=C(C2([C][C]([C][C])[C][C])[C][C]([C][C])[C][C])[C]=C2C(=[C]1)C([C][C]([C][C])[C][C])([C][C]([C][C])[C][C])C1=C2SC(=[C]1)C1=[C][C]=C(c2c1nsn2)/[C]=C/1\SC(=S)N([C][C])C1=O,48
BTA53,C1(=[C]C2=C(S1)C1=[C]C3=C([C]=C1C(C1=[C][C]=C([C]=[C]1)[C])(C1=[C][C]=C([C]=[C]1)[C])O2)C1=C(OC3(C2=[C][C]=C([C]=[C]2)[C])C2=[C][C]=C([C]=[C]2)[C])[C]=C(C2=[C][C]=C(c3c2nn(n3)[C])/[C]=c/2\c(=O)n(c(=C(C#N)C#N)s2)[C])S1)C1=[C][C]=C(c2c1nn(n2)[C])/[C]=c/1\c(=O)n(c(=C(C#N)C#N)s1)[C],60
SNBDT1-F,c12c(c3c(c(c1sc1c2n(c2c1SC(=[C]2)/[C]=C/1\C(=O)C2=C(C1=C(C#N)C#N)[C]=[C]C(=[C]2)F)[C][C]([C])[C])O[C][C]([C])[C])c1c(s3)c2c(n1[C][C]([C])[C])[C]=C(S2)/[C]=C/1\C(=O)C2=C(C1=C(C#N)C#N)[C]=[C]C(=[C]2)F)O[C][C]([C])[C],58
