,sTDDFTLUMO,sTDDFTHOMO,sTDDFTdeltaLUMO,sTDDFTdeltaHOMO,sTDDFToptbg,sTDDFToscs,sTDDFTfundbg,sTDDFTsinglepointenergy,sTDDFTdipolemoment,sTDDFTsummedoscs,sTDDFTabsFOM,sTDDFTScharberVoc,sTDDFTScharberJscDon,sTDDFTScharberJscAcc,sTDDFTScharberJscTot,sTDDFTScharberPCETot,sTDDFTScharberPCEAcc,sTDDFTScharberPCEDon,donsTDDFTLUMO,donsTDDFTHOMO,donsTDDFTdeltaLUMO,donsTDDFTdeltaHOMO,donsTDDFToptbg,donsTDDFToscs,donsTDDFTfundbg,donsTDDFTsinglepointenergy,donsTDDFTdipolemoment,donsTDDFTsummedoscs,donsTDDFTabsFOM,sTDDFTDHomoALumoOffset,sTDDFTaccElectrophilicity,sTDDFTAccChemHard,sTDDFTAccElectrodonating,sTDDFTAccElectroaccepting,sTDDFTDonChemHard,sTDDFTDonElectrodonating,sTDDFTDonElectroaccepting,sTDDFTdonElectrophilicity,sTDDFTHOMOoffset,sTDDFTLUMOoffset,Planarity,PiSystemSize,sTDDFTdonlowestengtranseV,sTDDFTdonlowestengtranswavenumber,sTDDFTdonfirstengtranseV,sTDDFTdonfirstengtranswavenumber,sTDDFTdonfirstoscs,sTDDFTacclowestengtranseV,sTDDFTacclowestengtranswavenumber,sTDDFTaccfirstengtranseV,sTDDFTaccfirstengtranswavenumber,sTDDFTaccfirstoscs,sTDDFTacchighestoscsunderten,sTDDFTdonhighestoscsunderten,ScharberFF,ExperimentalFF,ExperimentalVoc,ExperimentalJsc,ExperimentalPCE
1182,-2.53,-6.52,0.2799999999999998,0.8800000000000008,2.0980708192818884,1.786497765,3.99,-4959.758023426406,0.42617,5.464171237,16.280964466115044,2.72,2.7032955920274753,8.183080769781785,10.88637636180926,19.247113407678775,14.467686800974198,4.779426606704576,-0.97,-5.55,0.76,0.79,2.686260166633604,2.364060892,4.58,-3859.844937179237,0.15653,2.7853530230000003,12.016106901188259,3.02,5.13173558897243,3.99,7.643610588972431,3.1186105889724316,4.58,4.2366866812227055,0.9766866812227076,2.320436681222707,0.9699999999999998,1.5599999999999998,2.00978866736744,54,2.686187874,21666.3,2.686187874,21666.3,2.364060892,2.0980143559999997,16922.2,2.0980143559999997,16922.2,1.786497765,1.786497765,2.364060892,0.65,56.93,0.52,4.22,1.24
1184,-2.53,-6.52,0.2799999999999998,0.8800000000000008,2.0980708192818884,1.786497765,3.99,-4959.758023426406,0.42617,5.464171237,16.280964466115044,3.44,4.854251741037734,8.183080769781785,13.03733251081952,29.151475494192447,18.297368601232073,10.854106892960372,-2.07,-6.27,0.31999999999999984,0.2700000000000005,2.405375917476691,4.0511395010000015,4.199999999999998,-8259.677193006664,17.60853,5.931795626,4.930539931150049,3.74,5.13173558897243,3.99,7.643610588972431,3.1186105889724316,4.199999999999998,6.487714285714286,2.3177142857142856,4.140214285714286,0.25,0.46,2.00978866736744,54,2.405311184,19400.8,2.405311184,19400.8,4.0511395010000015,2.0980143559999997,16922.2,2.0980143559999997,16922.2,1.786497765,1.786497765,4.0511395010000015,0.65,65.67,0.94,16.5,10.16
1185,-2.53,-6.52,0.2799999999999998,0.8800000000000008,2.0980708192818884,1.786497765,3.99,-4959.758023426406,0.42617,5.464171237,16.280964466115044,3.18,7.682828798895218,8.183080769781785,15.865909568677006,32.79483507845537,16.91442795113895,15.88040712731642,-2.13,-6.01,0.1499999999999999,0.16999999999999993,2.1350178536004756,2.277207128,3.88,-15411.918742263257,7.49925,14.86141259,44.308368660358155,3.48,5.13173558897243,3.99,7.643610588972431,3.1186105889724316,3.88,6.546804123711341,2.47680412371134,4.269304123711341,0.5099999999999998,0.3999999999999999,2.00978866736744,54,2.134960396,17220.2,2.134960396,17220.2,2.277207128,2.0980143559999997,16922.2,2.0980143559999997,16922.2,1.786497765,1.786497765,2.277207128,0.65,66.8,0.95,17.87,11.34
1199,-2.42,-6.55,0.27,0.8700000000000001,2.234886431263638,1.746525644,4.13,-5601.246605320259,6.38916,5.940574527000001,22.32487093028491,3.13,6.967194681231388,6.523118879873008,13.490313561104395,27.446042940066896,13.271285361101636,14.174757578965256,-1.83,-5.85,0.16000000000000014,0.29000000000000004,2.1962656219004164,0.241128707,4.02,-15122.809191764587,2.34005,12.751957815,44.747319950918076,3.43,4.870514527845035,4.13,7.3711395278450365,2.886139527845036,4.02,5.839309701492535,1.9993097014925372,3.668059701492538,0.7000000000000002,0.5899999999999999,2.069286128466413,52,2.625226908,21174.6,2.1962065159999997,17714.2,0.241128707,2.234826286,18025.7,2.234826286,18025.7,1.746525644,1.746525644,2.659886367,0.65,71.0,1.01,15.9,11.4
1221,-2.4,-6.19,0.19999999999999973,1.0299999999999994,2.080266812140448,1.589753674,3.790000000000001,-5984.626719702478,6.07653,5.345975107,12.480147827874715,3.15,6.967194681231388,8.409595891909474,15.376790573140859,31.48397869850591,17.21864758868465,14.265331109821265,-1.83,-5.85,0.16000000000000014,0.29000000000000004,2.1962656219004164,0.241128707,4.02,-15122.809191764587,2.34005,12.751957815,44.747319950918076,3.45,4.867288918205803,3.790000000000001,7.251663918205803,2.9566639182058045,4.02,5.839309701492535,1.9993097014925372,3.668059701492538,0.34000000000000075,0.5699999999999998,2.342051592271297,58,2.625226908,21174.6,2.1962065159999997,17714.2,0.241128707,3.0563053679999994,24651.6,2.080210828,16778.6,0.012050908,1.589753674,2.659886367,0.65,63.0,0.96,15.46,9.35
1243,-2.9,-6.64,0.4899999999999998,0.91,1.9303709581432256,2.81688327,3.74,-4357.17066243609,4.46796,5.633964172000001,14.49336537080256,2.65,6.967194681231388,10.571468287039034,17.538662968270422,30.2103469628458,18.209354124424728,12.000992838421064,-1.83,-5.85,0.16000000000000014,0.29000000000000004,2.1962656219004164,0.241128707,4.02,-15122.809191764587,2.34005,12.751957815,44.747319950918076,2.95,6.0836631016042775,3.74,8.702413101604277,3.9324131016042783,4.02,5.839309701492535,1.9993097014925372,3.668059701492538,0.79,1.0699999999999998,0.971675500427424,52,2.625226908,21174.6,2.1962065159999997,17714.2,0.241128707,1.930319008,15569.6,1.930319008,15569.6,2.81688327,2.81688327,2.659886367,0.65,69.6,0.68,20.1,9.47
1275,-2.67,-6.48,0.31000000000000005,0.7999999999999998,2.006335548502281,2.166042876,3.810000000000001,-4929.7061649897605,5.40561,6.189634468999999,21.39727578329053,3.0700000000000003,5.9897904869356955,9.436601433213225,15.426391920148921,30.783365076657173,18.830738159976992,11.95262691668018,-1.99,-6.04,0.18999999999999995,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.37,5.493602362204723,3.810000000000001,8.019227362204722,3.4442273622047233,4.05,6.240927469135803,2.2259274691358018,3.9803024691358018,0.4400000000000004,0.6799999999999999,1.19913841482594,58,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.006281554,16182.3,2.006281554,16182.3,2.166042876,2.166042876,2.257052621,0.65,61.46,0.93,20.2,11.54
1287,-2.74,-5.57,0.52,1.3499999999999996,1.0741172386431264,0.95418173,2.83,-6144.072194301139,10.6203,5.168764945,19.742716260198005,2.81,6.967194681231388,29.052068739430553,36.019263420661936,65.78918463783901,53.063603552569894,12.725581085269127,-1.83,-5.85,0.16000000000000014,0.29000000000000004,2.1962656219004164,0.241128707,4.02,-15122.809191764587,2.34005,12.751957815,44.747319950918076,3.1099999999999994,6.100362190812723,2.83,8.354737190812724,4.199737190812721,4.02,5.839309701492535,1.9993097014925372,3.668059701492538,0.27999999999999936,0.91,1.9468248984809151,53,2.625226908,21174.6,2.1962065159999997,17714.2,0.241128707,1.074088332,8663.4,1.074088332,8663.4,0.95418173,0.95418173,2.659886367,0.65,60.0,1.04,17.34,10.8
1319,-2.71,-6.54,0.31999999999999984,0.9400000000000004,1.9768399127157308,2.069075179,3.83,-3969.753717247055,5.43693,5.917968349,22.129850361177105,3.03,5.9897904869356955,9.85735803957308,15.847148526508773,31.21095902295903,19.41406665893918,11.796892364019852,-1.99,-6.04,0.18999999999999995,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.33,5.585019582245431,3.83,8.136894582245432,3.5118945822454304,4.05,6.240927469135803,2.2259274691358018,3.9803024691358018,0.5,0.72,1.1440567950993072,58,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,1.9767867119999998,15944.4,1.9767867119999998,15944.4,2.069075179,2.069075179,2.257052621,0.65,60.59,0.83,8.36,4.21
1331,-2.6,-6.37,0.3000000000000003,0.8399999999999999,1.9143027177147391,1.208614406,3.77,-4860.4098691928775,2.23404,5.929636313,22.044897326983644,2.95,6.967194681231388,10.813435519187275,17.78063020041866,34.094358409302785,20.734762608041596,13.359595801261186,-1.83,-5.85,0.16000000000000014,0.29000000000000004,2.1962656219004164,0.241128707,4.02,-15122.809191764587,2.34005,12.751957815,44.747319950918076,3.25,5.335603448275863,3.77,7.813728448275862,3.3287284482758626,4.02,5.839309701492535,1.9993097014925372,3.668059701492538,0.5200000000000005,0.77,1.3057377347709924,59,2.625226908,21174.6,2.1962065159999997,17714.2,0.241128707,1.9142511999999998,15440.0,1.9142511999999998,15440.0,1.208614406,1.208614406,2.659886367,0.65,69.5,0.88,21.4,13.4
