Donor/acceptor pair,FOM 1.5G AM
PDCBT-Cl_tetra and IDF-4F,43.844532003633184
PTB7-Th and IDF-4F,60.413015301822995
P3HT and IDF-4F,38.212486214770365
PBDB-T_tetra and IDF-4F,73.84085285296763
PBDB-T-2Cl_dimer and IDF-4F,46.418487726794744
PBDB-TF_dimer and Y16,46.57456500648024
PDCBT-Cl_tetra and Y16,43.964045672962186
PTB7-Th and Y16,60.53252897115196
P3HT and Y16,38.3319998840993
PBDB-T_tetra and Y16,73.96036652229647
PBDB-T-2Cl_dimer and Y16,46.53800139612375
PBDB-TF_dimer and DTG-IW,38.69354023637654
PDCBT-Cl_tetra and DTG-IW,36.08302090285846
PTB7-Th and DTG-IW,52.651504201048255
P3HT and DTG-IW,30.450975113995593
PBDB-T_tetra and DTG-IW,66.07934175219283
PBDB-T-2Cl_dimer and DTG-IW,38.65697662602
PBDB-TF_dimer and p-IO2,43.38651004387463
PDCBT-Cl_tetra and p-IO2,40.775990710356524
PTB7-Th and p-IO2,57.34447400854631
P3HT and p-IO2,35.14394492149363
PBDB-T_tetra and p-IO2,70.77231155969093
PBDB-T-2Cl_dimer and p-IO2,43.349946433518106
PBDB-TF_dimer and BTDT2R,42.9354180013556
PDCBT-Cl_tetra and BTDT2R,40.32489866783754
PTB7-Th and BTDT2R,56.89338196602734
P3HT and BTDT2R,34.692852878974676
PBDB-T_tetra and BTDT2R,70.32121951717183
PBDB-T-2Cl_dimer and BTDT2R,42.898854390999084
PBDB-TF_dimer and FO-2F,49.27999217200673
PDCBT-Cl_tetra and FO-2F,46.66947283848863
PTB7-Th and FO-2F,63.237956136678484
P3HT and FO-2F,41.03742704962573
PBDB-T_tetra and FO-2F,76.66579368782301
PBDB-T-2Cl_dimer and FO-2F,49.2434285616502
PBDB-TF_dimer and BT6IC-HD-4Cl,40.932055573799346
PDCBT-Cl_tetra and BT6IC-HD-4Cl,38.32153624028123
PTB7-Th and BT6IC-HD-4Cl,54.89001953847103
P3HT and BT6IC-HD-4Cl,32.68949045141835
PBDB-T_tetra and BT6IC-HD-4Cl,68.31785708961563
PBDB-T-2Cl_dimer and BT6IC-HD-4Cl,40.89549196344281
PBDB-TF_dimer and ITIC-Th,42.643122705952436
PDCBT-Cl_tetra and ITIC-Th,40.03260337243421
PTB7-Th and ITIC-Th,56.60108667062408
P3HT and ITIC-Th,34.40055758357142
PBDB-T_tetra and ITIC-Th,70.0289242217687
PBDB-T-2Cl_dimer and ITIC-Th,42.60655909559579
PBDB-TF_dimer and Y11,44.29216470847534
PDCBT-Cl_tetra and Y11,41.681645374957256
PTB7-Th and Y11,58.25012867314703
P3HT and Y11,36.04959958609437
PBDB-T_tetra and Y11,71.67796622429168
PBDB-T-2Cl_dimer and Y11,44.25560109811886
PBDB-TF_dimer and CH1007,48.46305301736739
PDCBT-Cl_tetra and CH1007,45.85253368384927
PTB7-Th and CH1007,62.42101698203918
P3HT and CH1007,40.220487894986455
PBDB-T_tetra and CH1007,75.84885453318367
PBDB-T-2Cl_dimer and CH1007,48.426489407010855
PBDB-TF_dimer and Y15,52.6775125658009
PDCBT-Cl_tetra and Y15,50.066993232282734
PTB7-Th and Y15,66.63547653047262
P3HT and Y15,44.43494744341995
PBDB-T_tetra and Y15,80.06331408161716
PBDB-T-2Cl_dimer and Y15,52.64094895544436
PBDB-TF_dimer and F-2F,45.071722509819296
PDCBT-Cl_tetra and F-2F,42.461203176301126
PTB7-Th and F-2F,59.029686474491
P3HT and F-2F,36.829157387438364
PBDB-T_tetra and F-2F,72.45752402563562
PBDB-T-2Cl_dimer and F-2F,45.035158899462786
PBDB-TF_dimer and BTSe-4F,45.056755671765444
PDCBT-Cl_tetra and BTSe-4F,42.44623633824733
PTB7-Th and BTSe-4F,59.014719636437135
P3HT and BTSe-4F,36.81419054938446
PBDB-T_tetra and BTSe-4F,72.44255718758163
PBDB-T-2Cl_dimer and BTSe-4F,45.020192061408885
PBDB-TF_dimer and O-IDTBR,44.19052386209828
PDCBT-Cl_tetra and O-IDTBR,41.58000452858018
PTB7-Th and O-IDTBR,58.14848782677
P3HT and O-IDTBR,35.94795873971731
PBDB-T_tetra and O-IDTBR,71.5763253779146
PBDB-T-2Cl_dimer and O-IDTBR,44.15396025174177
PBDB-TF_dimer and ITIC,41.72649262167685
PDCBT-Cl_tetra and ITIC,39.11597328815868
PTB7-Th and ITIC,55.684456586348524
P3HT and ITIC,33.48392749929585
PBDB-T_tetra and ITIC,69.11229413749322
PBDB-T-2Cl_dimer and ITIC,41.689929011320274
PBDB-TF_dimer and ITCC,50.98517715933743
PDCBT-Cl_tetra and ITCC,48.37465782581938
PTB7-Th and ITCC,64.94314112400916
P3HT and ITCC,42.74261203695654
PBDB-T_tetra and ITCC,78.37097867515378
PBDB-T-2Cl_dimer and ITCC,50.94861354898093
PBDB-TF_dimer and i-cc34,36.81444024011792
PDCBT-Cl_tetra and i-cc34,34.20392090659977
PTB7-Th and i-cc34,50.772404204789545
P3HT and i-cc34,28.571875117736933
PBDB-T_tetra and i-cc34,64.20024175593412
PBDB-T-2Cl_dimer and i-cc34,36.77787662976135
PBDB-TF_dimer and CPDT-4F,32.18005803668433
PDCBT-Cl_tetra and CPDT-4F,29.569538703166238
PTB7-Th and CPDT-4F,46.13802200135604
P3HT and CPDT-4F,23.93749291430336
PBDB-T_tetra and CPDT-4F,59.56585955250062
PBDB-T-2Cl_dimer and CPDT-4F,32.14349442632776
PBDB-TF_dimer and BDTN-BF,53.210921643155785
PDCBT-Cl_tetra and BDTN-BF,50.60040230963772
PTB7-Th and BDTN-BF,67.1688856078275
P3HT and BDTN-BF,44.96835652077477
PBDB-T_tetra and BDTN-BF,80.5967231589721
PBDB-T-2Cl_dimer and BDTN-BF,53.174358032799255
PBDB-TF_dimer and NIBT,54.446797226490645
PDCBT-Cl_tetra and NIBT,51.836277892972504
PTB7-Th and NIBT,68.40476119116236
P3HT and NIBT,46.20423210410966
PBDB-T_tetra and NIBT,81.83259874230691
PBDB-T-2Cl_dimer and NIBT,54.41023361613407
PBDB-TF_dimer and M8,51.25137059297043
PDCBT-Cl_tetra and M8,48.640851259452354
PTB7-Th and M8,65.20933455764218
P3HT and M8,43.008805470589465
PBDB-T_tetra and M8,78.63717210878663
PBDB-T-2Cl_dimer and M8,51.214806982613815
PBDB-TF_dimer and Y1,46.60407299499489
PDCBT-Cl_tetra and Y1,43.99355366147672
PTB7-Th and Y1,60.5620369596666
P3HT and Y1,38.3615078726139
PBDB-T_tetra and Y1,73.9898745108112
PBDB-T-2Cl_dimer and Y1,46.56750938463839
PBDB-TF_dimer and SNBDT1-F,51.194246406950846
PDCBT-Cl_tetra and SNBDT1-F,48.58372707343276
PTB7-Th and SNBDT1-F,65.1522103716226
P3HT and SNBDT1-F,42.95168128456993
PBDB-T_tetra and SNBDT1-F,78.58004792276716
PBDB-T-2Cl_dimer and SNBDT1-F,51.15768279659429
