Molecule,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),Delta HOMO,delta LUMO,optical bandgap (cm-1),oscillator strength,single point energy,dipole moment (debye),summed oscs,Abs FOM,first oscs,highest oscs under ten,first Energy Transition eV,first Energy transition wavenumber,lowest Energy Transition eV,lowest Energy transition wavenumber
NIDT,-7.06,-6.36,-2.14,-1.96,0.6999999999999993,0.18000000000000016,17274.2,0.826727423,-5618.594206051112,7.19935,5.034594257,26.124524758173273,0.826727423,0.826727423,2.141655316,17274.2,2.141655316,17274.2
BCDT-4Cl,-7.09,-6.41,-2.87,-2.41,0.6799999999999997,0.45999999999999996,14055.1,2.74017689,-6842.766449614484,5.62737,6.415181531,17.789749669384783,2.74017689,2.74017689,1.742551298,14055.1,1.742551298,14055.1
p-IO1,-7.12,-6.33,-2.66,-2.49,0.79,0.16999999999999993,15520.1,2.655436383,-5743.121819220977,8.45023,6.189893449,16.12927125723546,2.655436383,2.655436383,1.924181998,15520.1,1.924181998,15520.1
BTA3,-7.1,-6.34,-2.37,-2.12,0.7599999999999998,0.25,17666.2,2.315766093,-5245.05079784103,10.19406,5.231793805000001,21.0375133472832,2.315766093,2.315766093,2.190255476,17666.2,2.190255476,17666.2
BTTPC-Br,-7.46,-6.51,-2.58,-2.36,0.9500000000000002,0.2200000000000002,16862.0,2.257665687,-10670.18300312719,7.26674,6.824370468,21.03201827175235,2.257665687,2.257665687,2.0905507599999997,16862.0,2.0905507599999997,16862.0
AQx,-7.32,-6.56,-2.72,-2.41,0.7600000000000007,0.31000000000000005,15991.8,1.555504182,-4729.428678882609,7.62908,6.428620897999999,25.330751442689927,1.555504182,1.555504182,1.9826633639999998,15991.8,1.9826633639999998,15991.8
IDF-4F,-7.81,-6.87,-2.81,-2.32,0.9399999999999995,0.4900000000000002,16536.5,1.26000992,-3762.055527632387,7.27212,4.858483565,19.076953358488737,1.26000992,1.26000992,2.0501952699999997,16536.5,2.0501952699999997,16536.5
Y16,-6.77,-6.69,-3.7,-2.49,0.07999999999999918,1.21,7555.7,0.290489089,-4310.676843456335,8.21071,5.205346511,15.422616920874828,0.290489089,0.499904244,0.9367556859999999,7555.7,2.2931960699999996,18496.5
DTG-IW,-7.72,-6.5,-2.62,-2.26,1.2199999999999998,0.3600000000000003,14658.3,0.209595436,-6985.753903379587,6.59512,4.510285575999999,12.93582644006827,0.209595436,0.691985507,1.8173360339999998,14658.3,2.712608012,21879.4
p-IO2,-6.98,-6.24,-2.72,-2.5,0.7400000000000002,0.2200000000000002,14378.9,2.720771223,-5818.256230177347,6.46872,6.057882652,16.202991974770175,2.720771223,2.720771223,1.7826960219999999,14378.9,1.7826960219999999,14378.9
