Donor/acceptor pair,FOM 1.5G AM
PBDB-T_tetra and IDF-IC,64.41900272522813
PDCBT-Cl_tetra and IDF-IC,38.671138299609105
PTB7-Th_tetra and IDF-IC,47.56325810515378
P3HT and IDIC,25.41756186242528
PBDB-T-2Cl_dimer and IDIC,33.799751768409664
PBDB-TF_dimer and IDIC,35.65387358709983
PBDB-T_tetra and IDIC,58.82343470333217
PDCBT-Cl_tetra and IDIC,33.075570277713204
PTB7-Th_tetra and IDIC,41.967690083257885
P3HT and IDST-4F,31.86047364316301
PBDB-T-2Cl_dimer and IDST-4F,40.242663549147444
PBDB-TF_dimer and IDST-4F,42.09678536783758
PBDB-T_tetra and IDST-4F,65.26634648406998
PDCBT-Cl_tetra and IDST-4F,39.51848205845093
PTB7-Th_tetra and IDST-4F,48.410601863995616
P3HT and IDTCF,22.13375199140275
PBDB-T-2Cl_dimer and IDTCF,30.515941897387126
PBDB-TF_dimer and IDTCF,32.370063716077325
PBDB-T_tetra and IDTCF,55.53962483230965
PDCBT-Cl_tetra and IDTCF,29.791760406690678
PTB7-Th_tetra and IDTCF,38.68388021223538
P3HT and IDTT-TBTA,25.203175530464613
PBDB-T-2Cl_dimer and IDTT-TBTA,33.58536543644896
PBDB-TF_dimer and IDTT-TBTA,35.43948725513913
PBDB-T_tetra and IDTT-TBTA,58.60904837137146
PDCBT-Cl_tetra and IDTT-TBTA,32.861183945752536
PTB7-Th_tetra and IDTT-TBTA,41.7533037512972
P3HT and IPTBO-4Cl,42.49885977429278
PBDB-T-2Cl_dimer and IPTBO-4Cl,50.88104968027715
PBDB-TF_dimer and IPTBO-4Cl,52.73517149896731
PBDB-T_tetra and IPTBO-4Cl,75.9047326151997
PDCBT-Cl_tetra and IPTBO-4Cl,50.156868189580656
PTB7-Th_tetra and IPTBO-4Cl,59.04898799512543
P3HT and IT-4F,34.02353697497426
PBDB-T-2Cl_dimer and IT-4F,42.40572688095865
PBDB-TF_dimer and IT-4F,44.259848699648785
PBDB-T_tetra and IT-4F,67.42940981588112
PDCBT-Cl_tetra and IT-4F,41.68154539026215
PTB7-Th_tetra and IT-4F,50.57366519580688
P3HT and ITCC,39.35921533247312
PBDB-T-2Cl_dimer and ITCC,47.74140523845749
PBDB-TF_dimer and ITCC,49.59552705714757
PBDB-T_tetra and ITCC,72.76508817338
PDCBT-Cl_tetra and ITCC,47.01722374776095
PTB7-Th_tetra and ITCC,55.90934355330565
P3HT and ITIC-Th,34.37078416225073
PBDB-T-2Cl_dimer and ITIC-Th,42.75297406823509
PBDB-TF_dimer and ITIC-Th,44.60709588692528
PBDB-T_tetra and ITIC-Th,67.77665700315768
PDCBT-Cl_tetra and ITIC-Th,42.0287925775386
PTB7-Th_tetra and ITIC-Th,50.920912383083326
P3HT and ITIC,30.823774922781993
PBDB-T-2Cl_dimer and ITIC,39.20596482876638
PBDB-TF_dimer and ITIC,41.060086647456515
PBDB-T_tetra and ITIC,64.22964776368882
PDCBT-Cl_tetra and ITIC,38.48178333806987
PTB7-Th_tetra and ITIC,47.3739031436146
P3HT and M34,45.13354620731618
PBDB-T-2Cl_dimer and M34,53.51573611330057
PBDB-TF_dimer and M34,55.36985793199078
PBDB-T_tetra and M34,78.53941904822314
PDCBT-Cl_tetra and M34,52.79155462260412
PTB7-Th_tetra and M34,61.68367442814886
P3HT and M8,38.542045494772545
PBDB-T-2Cl_dimer and M8,46.92423540075693
PBDB-TF_dimer and M8,48.778357219447024
PBDB-T_tetra and M8,71.94791833567936
PDCBT-Cl_tetra and M8,46.20005391006041
PTB7-Th_tetra and M8,55.092173715605135
P3HT and N3,34.924312622080016
PBDB-T-2Cl_dimer and N3,43.30650252806441
PBDB-TF_dimer and N3,45.16062434675456
PBDB-T_tetra and N3,68.33018546298693
PDCBT-Cl_tetra and N3,42.58232103736795
PTB7-Th_tetra and N3,51.47444084291263
P3HT and N65-2FIC,34.76758849194074
PBDB-T-2Cl_dimer and N65-2FIC,43.14977839792512
PBDB-TF_dimer and N65-2FIC,45.00390021661535
PBDB-T_tetra and N65-2FIC,68.17346133284778
PDCBT-Cl_tetra and N65-2FIC,42.425596907228694
PTB7-Th_tetra and N65-2FIC,51.3177167127734
P3HT and N65-IC,31.6277767817519
PBDB-T-2Cl_dimer and N65-IC,40.00996668773628
PBDB-TF_dimer and N65-IC,41.86408850642644
PBDB-T_tetra and N65-IC,65.03364962265886
PDCBT-Cl_tetra and N65-IC,39.28578519703984
PTB7-Th_tetra and N65-IC,48.177905002584545
P3HT and NIBT,37.420578429831785
PBDB-T-2Cl_dimer and NIBT,45.802768335816204
PBDB-TF_dimer and NIBT,47.656890154506335
PBDB-T_tetra and NIBT,70.82645127073873
PDCBT-Cl_tetra and NIBT,45.078586845119666
PTB7-Th_tetra and NIBT,53.9707066506644
P3HT and NIDT,43.30592663495509
PBDB-T-2Cl_dimer and NIDT,51.688116540939475
PBDB-TF_dimer and NIDT,53.54223835962961
PBDB-T_tetra and NIDT,76.71179947586205
PDCBT-Cl_tetra and NIDT,50.963935050243
PTB7-Th_tetra and NIDT,59.856054855787725
P3HT and NITV,36.351597530107654
PBDB-T-2Cl_dimer and NITV,44.733787436092044
PBDB-TF_dimer and NITV,46.58790925478216
PBDB-T_tetra and NITV,69.75747037101459
PDCBT-Cl_tetra and NITV,44.00960594539558
PTB7-Th_tetra and NITV,52.90172575094024
P3HT and O-IDTBR,35.20756790414798
PBDB-T-2Cl_dimer and O-IDTBR,43.58975781013235
PBDB-TF_dimer and O-IDTBR,45.44387962882255
PBDB-T_tetra and O-IDTBR,68.61344074505487
PDCBT-Cl_tetra and O-IDTBR,42.8655763194359
PTB7-Th_tetra and O-IDTBR,51.75769612498057
P3HT and PC70BM,13.729432160488999
PBDB-T-2Cl_dimer and PC70BM,22.111622066473387
PBDB-TF_dimer and PC70BM,23.965743885163533
