Acceptor,Acc HOMO (eV),Acc calc LUMO (eV),Acc fund bandgap (eV),Acc Ehomo - Ehomo-1,Acc Elumo+1 - Elumo,ElectroIndex
IT-4F,-5.75594264547135,-3.8563691481493905,1.8995734973219598,0.6650462506219998,0.2608211257042501,12.160168867911938
ITCC,-5.5617894131396,-3.695765806712304,1.8660236064272961,0.6993870185551003,0.22468440635784992,11.481945934849882
ITIC-Th,-5.5852456270527,-3.7822427506392904,1.8030028764134096,0.5377513913580998,0.25763739365340044,12.167179494570371
ITIC,-5.55947644541035,-3.7596475424149123,1.7998289029954373,0.6975094329866511,0.2284667888798002,12.063101075319317
M34,-5.6337363152118,-3.881120266808705,1.7526160484030946,0.5829767133112007,0.25575980808494947,12.913908876235055
M8,-5.652920341672051,-3.8081350808111107,1.8447852608609399,0.7224894844625496,0.2789983309176498,12.130350833560437
N3,-5.7539017915926,-3.9150677308903585,1.8388340607022418,0.7272786882313502,0.21676589330829987,12.710360008096837
N65-2FIC,-5.608266458805001,-3.8745578692394385,1.7337085895655622,0.7849668245373493,0.26669878487505017,12.966994248307449
N65-IC,-5.48045458322515,-3.7374224467442927,1.7430321364808572,0.7824361657277006,0.2683314679780495,12.186989436578793
NIBT,-5.30728132876695,-3.5594138421571504,1.7478674866097998,0.6537807372113003,0.23045321998844992,11.244886104978475
NIDT,-5.41645340558755,-3.3961821300469826,2.0202712755405674,0.6184059366463002,0.11594771169805007,9.610410495881085
NITV,-5.6310151767068,-3.539168320924217,2.091846855782583,0.8103278354039505,0.2735288425225999,10.050002602695836
O-IDTBR,-5.28790682261135,-3.5966625258448355,1.6912442967665147,0.5271389511885998,0.21524205574550015,11.668268838872638
PC70BM,-5.9025847995058,-3.904642922894017,1.9979418766117831,0.18351358077720015,0.06917134079710019,12.035099309560197
PCBM,-5.96759279839025,-4.080033286388662,1.8875595120015873,0.15349942306705078,0.05834120954720001,13.371073772460308
SNBDT1-F,-5.4294060248713505,-3.778307532508724,1.6510984923626264,0.5944599178022996,0.29859052815364917,12.837209492185217
