Acceptor,Donor,sTDDFTLUMO,sTDDFTHOMO,sTDDFTdeltaLUMO,sTDDFTdeltaHOMO,sTDDFToptbg,sTDDFToscs,sTDDFTfundbg,sTDDFTsinglepointenergy,sTDDFTdipolemoment,sTDDFTsummedoscs,sTDDFTabsFOM,sTDDFTScharberVoc,sTDDFTScharberJscDon,sTDDFTScharberJscAcc,sTDDFTScharberJscTot,sTDDFTScharberPCETot,sTDDFTScharberPCEAcc,sTDDFTScharberPCEDon,donsTDDFTLUMO,donsTDDFTHOMO,donsTDDFTdeltaLUMO,donsTDDFTdeltaHOMO,donsTDDFToptbg,donsTDDFToscs,donsTDDFTfundbg,donsTDDFTsinglepointenergy,donsTDDFTdipolemoment,donsTDDFTsummedoscs,donsTDDFTabsFOM,sTDDFTDHomoALumoOffset,sTDDFTaccElectrophilicity,sTDDFTAccChemHard,sTDDFTAccElectrodonating,sTDDFTAccElectroaccepting,sTDDFTDonChemHard,sTDDFTDonElectrodonating,sTDDFTDonElectroaccepting,sTDDFTdonElectrophilicity,sTDDFTHOMOoffset,sTDDFTLUMOoffset,Planarity,PiSystemSize,sTDDFTdonlowestengtranseV,sTDDFTdonlowestengtranswavenumber,sTDDFTdonfirstengtranseV,sTDDFTdonfirstengtranswavenumber,sTDDFTdonfirstoscs,sTDDFTacclowestengtranseV,sTDDFTacclowestengtranswavenumber,sTDDFTaccfirstengtranseV,sTDDFTaccfirstengtranswavenumber,sTDDFTaccfirstoscs,sTDDFTacchighestoscsunderten,sTDDFTdonhighestoscsunderten,ScharberFF,ExperimentalFF,ExperimentalVoc,ExperimentalJsc,ExperimentalPCE
M8,PBDB-T-SF,-2.76,-6.65,0.3199999999999998,0.8799999999999999,2.054341896449117,2.352554493,3.8900000000000006,-3969.75861692784,6.16998,6.014755964,20.661917580907662,2.920000000000001,7.189409717688991,8.732043434864229,15.92145315255322,30.21891808354602,16.57341843937231,13.645499644173709,-1.98,-5.98,0.09,0.0999999999999996,2.1783624280896645,0.14610088,4.0,-18106.00965473941,3.00659,14.24515589,62.75526667518831,3.2200000000000006,5.690751928020565,3.8900000000000006,8.286376928020564,3.581376928020565,4.0,6.200100000000001,2.2201,3.960100000000001,0.6699999999999999,0.7799999999999998,1.1440567950993068,58,2.396248246,19327.7,2.178303804,17569.8,0.14610088,2.05428661,16569.5,2.05428661,16569.5,2.352554493,2.352554493,0.880102012,0.65,,,,
M8,PBDB-T,-2.76,-6.65,0.3199999999999998,0.8799999999999999,2.054341896449117,2.352554493,3.8900000000000006,-3969.75861692784,6.16998,6.014755964,20.661917580907662,2.79,6.967194681231387,8.732043434864229,15.699238116095616,28.4705683235394,15.83556076912628,12.635007554413122,-1.83,-5.85,0.1600000000000001,0.29,2.1962656219004164,0.241128707,4.02,-15122.809191764589,2.34005,12.751957815,44.74731995091807,3.09,5.690751928020565,3.8900000000000006,8.286376928020564,3.581376928020565,4.02,5.839309701492535,1.9993097014925374,3.668059701492538,0.8000000000000007,0.9299999999999997,1.1440567950993068,58,2.625226908,21174.6,2.196206516,17714.2,0.241128707,2.05428661,16569.5,2.05428661,16569.5,2.352554493,2.352554493,2.659886367,0.65,,,,
M8,PBDB-TF,-2.76,-6.65,0.3199999999999998,0.8799999999999999,2.054341896449117,2.352554493,3.8900000000000006,-3969.75861692784,6.16998,6.014755964,20.661917580907662,2.9800000000000004,5.989790486935695,8.732043434864229,14.721833921799924,28.51619230652646,16.913968133332016,11.602224173194443,-1.99,-6.04,0.1899999999999999,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.2800000000000002,5.690751928020565,3.8900000000000006,8.286376928020564,3.581376928020565,4.05,6.240927469135802,2.225927469135802,3.980302469135802,0.6100000000000003,0.7699999999999998,1.1440567950993068,58,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.05428661,16569.5,2.05428661,16569.5,2.352554493,2.352554493,2.257052621,0.65,60.59,0.83,8.36,4.21
M8,PBDT-3TCO,-2.76,-6.65,0.3199999999999998,0.8799999999999999,2.054341896449117,2.352554493,3.8900000000000006,-3969.75861692784,6.16998,6.014755964,20.661917580907662,3.0200000000000005,4.521306487354939,8.732043434864229,13.253349922219169,26.016325897316236,17.141001262638486,8.875324634677746,-1.9,-6.08,0.1999999999999999,0.1600000000000001,2.44236014679627,5.199305003,4.18,-14105.919536309477,5.08026,11.226781201,26.03033813283712,3.3200000000000003,5.690751928020565,3.8900000000000006,8.286376928020564,3.581376928020565,4.18,6.064886363636365,2.0748863636363635,3.808636363636364,0.5700000000000003,0.8599999999999999,1.1440567950993068,58,2.4422944179999995,19699.1,2.4422944179999995,19699.1,5.199305003,2.05428661,16569.5,2.05428661,16569.5,2.352554493,2.352554493,5.199305003,0.65,,,,
M8,PBN-S,-2.76,-6.65,0.3199999999999998,0.8799999999999999,2.054341896449117,2.352554493,3.8900000000000006,-3969.75861692784,6.16998,6.014755964,20.661917580907662,3.1900000000000004,5.133045086172141,8.732043434864229,13.86508852103637,28.74926104836892,18.105892062190982,10.643368986177936,-2.12,-6.25,0.1,0.1399999999999996,2.3716896449117235,0.218227421,4.13,-17143.844153452093,6.44399,13.714828551999998,45.98916704269934,3.49,5.690751928020565,3.8900000000000006,8.286376928020564,3.581376928020565,4.13,6.591357445520582,2.4063574455205807,4.240732445520582,0.40000000000000036,0.6399999999999997,1.1440567950993068,58,2.50414804,20198.0,2.371625818,19129.1,0.218227421,2.05428661,16569.5,2.05428661,16569.5,2.352554493,2.352554493,2.769604361,0.65,,,,
M8,PBQ-4F,-2.76,-6.65,0.3199999999999998,0.8799999999999999,2.054341896449117,2.352554493,3.8900000000000006,-3969.75861692784,6.16998,6.014755964,20.661917580907662,2.95,7.682828798895219,8.732043434864229,16.414872233759446,31.475517508233743,16.743693286352162,14.731824221881585,-2.13,-6.01,0.1499999999999999,0.1699999999999999,2.135017853600476,2.277207128,3.88,-15411.918742263257,7.49925,14.86141259,44.30836866035815,3.25,5.690751928020565,3.8900000000000006,8.286376928020564,3.581376928020565,3.88,6.546804123711341,2.47680412371134,4.269304123711341,0.6400000000000006,0.6299999999999999,1.1440567950993068,58,2.134960396,17220.2,2.134960396,17220.2,2.277207128,2.05428661,16569.5,2.05428661,16569.5,2.352554493,2.352554493,2.277207128,0.65,,,,
M8,PCl3BDB-T,-2.76,-6.65,0.3199999999999998,0.8799999999999999,2.054341896449117,2.352554493,3.8900000000000006,-3969.75861692784,6.16998,6.014755964,20.661917580907662,3.0300000000000002,6.343358832369796,8.732043434864229,15.075402267234026,29.69100476531742,17.1977595449651,12.493245220352314,-1.88,-6.09,0.0799999999999998,0.2400000000000002,2.252802023408054,0.117771211,4.21,-17879.559086212448,2.54138,12.912866552,41.45945080702209,3.33,5.690751928020565,3.8900000000000006,8.286376928020564,3.581376928020565,4.21,6.027649940617576,2.0426499406175775,3.772024940617577,0.5600000000000005,0.8799999999999999,1.1440567950993068,58,2.845514572,22951.4,2.252741396,18170.2,0.063483413,2.05428661,16569.5,2.05428661,16569.5,2.352554493,2.352554493,1.734434186,0.65,,,,
M8,PCl4BDB-T,-2.76,-6.65,0.3199999999999998,0.8799999999999999,2.054341896449117,2.352554493,3.8900000000000006,-3969.75861692784,6.16998,6.014755964,20.661917580907662,2.9700000000000006,7.055129848476706,8.732043434864229,15.787173283340934,30.47713802348968,16.8572098510054,13.619928172484283,-2.02,-6.03,0.1899999999999999,0.1699999999999999,2.189136580043642,0.100765357,4.01,-17879.613301448404,1.23779,12.981631599000002,42.55747113042983,3.2700000000000005,5.690751928020565,3.8900000000000006,8.286376928020564,3.581376928020565,4.01,6.303181109725686,2.278181109725686,4.040056109725686,0.6200000000000001,0.7399999999999998,1.1440567950993068,58,2.589681842,20887.9,2.189077666,17656.7,0.100765357,2.05428661,16569.5,2.05428661,16569.5,2.352554493,2.352554493,2.678934542,0.65,,,,
M8,PDBT-T1,-2.76,-6.65,0.3199999999999998,0.8799999999999999,2.054341896449117,2.352554493,3.8900000000000006,-3969.75861692784,6.16998,6.014755964,20.661917580907662,2.91,5.048874370412561,8.732043434864229,13.78091780527679,26.06660602868105,16.516660157045692,9.54994587163536,-1.77,-5.97,0.1100000000000001,0.1100000000000003,2.3825133902003572,0.842805392,4.199999999999999,-17967.99590191805,2.24224,13.443344381000005,40.16131844440884,3.21,5.690751928020565,3.8900000000000006,8.286376928020564,3.581376928020565,4.199999999999999,5.763428571428572,1.8934285714285721,3.565928571428572,0.6800000000000006,0.9899999999999998,1.1440567950993068,58,2.541490816,20499.2,2.382449272,19216.4,0.842805392,2.05428661,16569.5,2.05428661,16569.5,2.352554493,2.352554493,3.447543414,0.65,,,,
M8,PDCBT-2F,-2.76,-6.65,0.3199999999999998,0.8799999999999999,2.054341896449117,2.352554493,3.8900000000000006,-3969.75861692784,6.16998,6.014755964,20.661917580907662,3.3500000000000005,5.007148525382501,8.732043434864229,13.73919196024673,29.91709049343726,19.014024579416862,10.903065914020399,-2.23,-6.41,0.32,0.29,2.3891464987105735,4.043250557,4.18,-8854.498196663628,18.68951,5.974315108000001,7.115365357337444,3.6500000000000004,5.690751928020565,3.8900000000000006,8.286376928020564,3.581376928020565,4.18,6.885938995215312,2.565938995215311,4.464688995215312,0.2400000000000002,0.5299999999999998,1.1440567950993068,58,2.389082202,19269.9,2.389082202,19269.9,4.043250557,2.05428661,16569.5,2.05428661,16569.5,2.352554493,2.352554493,4.043250557,0.65,,,,
