,sTDDFTLUMO,sTDDFTHOMO,sTDDFTdeltaLUMO,sTDDFTdeltaHOMO,sTDDFToptbg,sTDDFToscs,sTDDFTfundbg,sTDDFTsinglepointenergy,sTDDFTdipolemoment,sTDDFTsummedoscs,sTDDFTabsFOM,sTDDFTScharberVoc,sTDDFTScharberJscDon,sTDDFTScharberJscAcc,sTDDFTScharberJscTot,sTDDFTScharberPCETot,sTDDFTScharberPCEAcc,sTDDFTScharberPCEDon,donsTDDFTLUMO,donsTDDFTHOMO,donsTDDFTdeltaLUMO,donsTDDFTdeltaHOMO,donsTDDFToptbg,donsTDDFToscs,donsTDDFTfundbg,donsTDDFTsinglepointenergy,donsTDDFTdipolemoment,donsTDDFTsummedoscs,donsTDDFTabsFOM,sTDDFTDHomoALumoOffset,sTDDFTaccElectrophilicity,sTDDFTAccChemHard,sTDDFTAccElectrodonating,sTDDFTAccElectroaccepting,sTDDFTDonChemHard,sTDDFTDonElectrodonating,sTDDFTDonElectroaccepting,sTDDFTdonElectrophilicity,sTDDFTHOMOoffset,sTDDFTLUMOoffset,Planarity,PiSystemSize,sTDDFTdonlowestengtranseV,sTDDFTdonlowestengtranswavenumber,sTDDFTdonfirstengtranseV,sTDDFTdonfirstengtranswavenumber,sTDDFTdonfirstoscs,sTDDFTacclowestengtranseV,sTDDFTacclowestengtranswavenumber,sTDDFTaccfirstengtranseV,sTDDFTaccfirstengtranswavenumber,sTDDFTaccfirstoscs,sTDDFTacchighestoscsunderten,sTDDFTdonhighestoscsunderten,ScharberFF,ExperimentalFF,ExperimentalVoc,ExperimentalJsc,ExperimentalPCE
777,-2.72,-6.57,0.33,0.8899999999999997,2.0275243007339814,1.615687417,3.85,-6690.408544319677,11.41104,5.68817537,23.59152487594321,3.02,5.989790486935695,9.109474350185367,15.099264837121062,29.639856875268645,17.881898149413875,11.757958725854769,-1.99,-6.04,0.1899999999999999,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.32,5.604162337662339,3.85,8.167287337662337,3.5222873376623376,4.05,6.240927469135802,2.225927469135802,3.980302469135802,0.5300000000000002,0.7300000000000002,2.6009844842630474,54,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.027469736,16353.2,2.027469736,16353.2,1.615687417,1.615687417,2.257052621,0.65,72.57,0.893,23.15,15.0
794,-2.75,-6.79,0.2799999999999998,0.7999999999999998,2.208440785558421,2.613444528,4.04,-5356.332549198553,4.10013,5.943682365000001,16.77993797412577,3.17,4.155882326876856,6.832665397776074,10.98854772465293,22.64190258664736,14.0787070521176,8.563195534529761,-2.05,-6.22,0.2099999999999997,0.1100000000000003,2.485717119619123,4.753974721,4.17,-16905.950356579244,6.13653,12.104839638,26.17189741395175,3.47,5.631905940594058,4.04,8.269405940594059,3.499405940594059,4.17,6.4284187649880105,2.2934187649880093,4.10029376498801,0.5700000000000003,0.7000000000000002,2.0547376469216445,54,2.485650224,20048.8,2.485650224,20048.8,4.753974721,2.208381352,17812.4,2.208381352,17812.4,2.613444528,2.613444528,4.753974721,0.65,76.0,0.9,20.73,14.2
796,-2.75,-6.79,0.2799999999999998,0.7999999999999998,2.208440785558421,2.613444528,4.04,-5356.332549198553,4.10013,5.943682365000001,16.77993797412577,3.09,5.517483362398773,6.832665397776074,12.350148760174848,24.80527378481118,13.723408451433246,11.081865333377936,-1.96,-6.14,0.1299999999999999,0.1100000000000003,2.331395060503868,0.283931444,4.18,-17879.61802018557,2.20141,12.985482327,50.14623799112652,3.39,5.631905940594058,4.04,8.269405940594059,3.499405940594059,4.18,6.2102930622009564,2.160293062200957,3.924043062200957,0.6500000000000004,0.79,2.0547376469216445,54,2.5710724439999995,20737.8,2.3313323179999994,18804.1,0.283931444,2.208381352,17812.4,2.208381352,17812.4,2.613444528,2.613444528,1.818247616,0.65,77.0,0.86,21.8,14.4
797,-2.75,-6.79,0.2799999999999998,0.7999999999999998,2.208440785558421,2.613444528,4.04,-5356.332549198553,4.10013,5.943682365000001,16.77993797412577,2.9300000000000006,7.189409717688991,6.832665397776074,14.022075115465064,26.70504205740322,13.012811250064535,13.692230807338689,-1.98,-5.98,0.09,0.0999999999999996,2.1783624280896645,0.14610088,4.0,-18106.00965473941,3.00659,14.24515589,62.75526667518831,3.2300000000000004,5.631905940594058,4.04,8.269405940594059,3.499405940594059,4.0,6.200100000000001,2.2201,3.960100000000001,0.8099999999999996,0.77,2.0547376469216445,54,2.396248246,19327.7,2.178303804,17569.8,0.14610088,2.208381352,17812.4,2.208381352,17812.4,2.613444528,2.613444528,0.880102012,0.65,71.0,0.88,20.88,13.1
800,-2.75,-6.79,0.2799999999999998,0.7999999999999998,2.208440785558421,2.613444528,4.04,-5356.332549198553,4.10013,5.943682365000001,16.77993797412577,3.03,4.521306487354939,6.832665397776074,11.353971885131012,22.36164762776553,13.45693450091998,8.904713126845552,-1.9,-6.08,0.1999999999999999,0.1600000000000001,2.44236014679627,5.199305003,4.18,-14105.919536309477,5.08026,11.226781201,26.03033813283712,3.33,5.631905940594058,4.04,8.269405940594059,3.499405940594059,4.18,6.064886363636365,2.0748863636363635,3.808636363636364,0.71,0.8500000000000001,2.0547376469216445,54,2.4422944179999995,19699.1,2.4422944179999995,19699.1,5.199305003,2.208381352,17812.4,2.208381352,17812.4,2.613444528,2.613444528,5.199305003,0.65,63.68,0.88,20.94,11.77
801,-2.75,-6.79,0.2799999999999998,0.7999999999999998,2.208440785558421,2.613444528,4.04,-5356.332549198553,4.10013,5.943682365000001,16.77993797412577,3.2,5.133045086172141,6.832665397776074,11.965710483948214,24.88867780661229,14.211944027374235,10.676733779238054,-2.12,-6.25,0.1,0.1399999999999996,2.3716896449117235,0.218227421,4.13,-17143.844153452093,6.44399,13.714828551999998,45.98916704269934,3.5,5.631905940594058,4.04,8.269405940594059,3.499405940594059,4.13,6.591357445520582,2.4063574455205807,4.240732445520582,0.54,0.6299999999999999,2.0547376469216445,54,2.50414804,20198.0,2.371625818,19129.1,0.218227421,2.208381352,17812.4,2.208381352,17812.4,2.613444528,2.613444528,2.769604361,0.65,69.9,0.891,21.03,13.1
806,-2.75,-6.79,0.2799999999999998,0.7999999999999998,2.208440785558421,2.613444528,4.04,-5356.332549198553,4.10013,5.943682365000001,16.77993797412577,3.3600000000000003,5.007148525382501,6.832665397776074,11.839813923158577,25.85815360817833,14.922541228742949,10.935612379435383,-2.23,-6.41,0.32,0.29,2.389146498710573,4.043250557,4.18,-8854.498196663628,18.68951,5.974315108000001,7.115365357337444,3.66,5.631905940594058,4.04,8.269405940594059,3.499405940594059,4.18,6.885938995215312,2.565938995215311,4.464688995215312,0.3799999999999999,0.52,2.0547376469216445,54,2.389082202,19269.9,2.389082202,19269.9,4.043250557,2.208381352,17812.4,2.208381352,17812.4,2.613444528,2.613444528,4.043250557,0.65,71.0,0.92,18.2,11.9
807,-2.75,-6.79,0.2799999999999998,0.7999999999999998,2.208440785558421,2.613444528,4.04,-5356.332549198553,4.10013,5.943682365000001,16.77993797412577,3.09,5.048874370412561,6.832665397776074,11.881539768188636,23.864072624406877,13.723408451433246,10.140664172973628,-1.92,-6.14,0.25,0.2600000000000007,2.381881075183496,4.076802804,4.22,-9402.575206581614,5.65723,5.183854525,6.835136982728329,3.39,5.631905940594058,4.04,8.269405940594059,3.499405940594059,4.22,6.127304502369666,2.097304502369668,3.848554502369668,0.6500000000000004,0.8300000000000001,2.0547376469216445,54,2.3818169739999995,19211.3,2.3818169739999995,19211.3,4.076802804,2.208381352,17812.4,2.208381352,17812.4,2.613444528,2.613444528,4.076802804,0.65,60.0,0.89,17.2,9.05
812,-2.75,-6.79,0.2799999999999998,0.7999999999999998,2.208440785558421,2.613444528,4.04,-5356.332549198553,4.10013,5.943682365000001,16.77993797412577,3.1500000000000004,3.6031871115513336,6.832665397776074,10.435852509327407,21.36740801284787,13.989882401946511,7.3775256109013565,-1.91,-6.2,0.4099999999999999,0.2000000000000001,2.5575654632017453,2.18439331,4.29,-10408.007351001082,1.9545,7.968147066,26.60847586229975,3.45,5.631905940594058,4.04,8.269405940594059,3.499405940594059,4.29,6.128497960372961,2.07349796037296,3.83287296037296,0.5899999999999999,0.8400000000000001,2.0547376469216445,54,2.557496634,20628.3,2.557496634,20628.3,2.18439331,2.208381352,17812.4,2.208381352,17812.4,2.613444528,2.613444528,2.18439331,0.65,75.0,0.91,21.5,14.7
820,-2.46,-6.62,0.25,0.8300000000000001,2.266824538781988,1.809113013,4.16,-5601.257931788396,5.78739,5.905132235,21.20373795675844,3.09,6.967194681231387,6.210453081006018,13.177647762237406,26.46730553045383,12.473695013200588,13.99361051725324,-1.83,-5.85,0.1600000000000001,0.29,2.1962656219004164,0.241128707,4.02,-15122.809191764589,2.34005,12.751957815,44.74731995091807,3.39,4.954711538461538,4.16,7.484711538461538,2.9447115384615383,4.02,5.839309701492535,1.9993097014925372,3.668059701492538,0.7700000000000005,0.6299999999999999,2.069286128466413,52,2.625226908,21174.6,2.196206516,17714.2,0.241128707,2.266763534,18283.3,2.266763534,18283.3,1.809113013,1.809113013,2.659886367,0.65,71.0,1.01,15.9,11.4
