Molecule,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),Delta HOMO,delta LUMO,optical bandgap (cm-1),oscillator strength,single point energy,dipole moment (debye),summed oscs,Abs FOM,first oscs,highest oscs under ten,first Energy Transition eV,first Energy transition wavenumber,lowest Energy Transition eV,lowest Energy transition wavenumber
TPIC-4Cl,-7.51,-6.65,-2.73,-2.4,0.8599999999999994,0.33000000000000007,17151.6,3.016952744,-6533.384605850111,3.52486,6.189672106000001,14.04154281199723,3.016952744,3.016952744,2.126455368,17151.6,2.126455368,17151.6
TPIC-4F,-7.52,-6.66,-2.71,-2.38,0.8599999999999994,0.33000000000000007,17473.4,3.014683103,-5092.073947606435,4.26922,6.1682101739999995,13.303950767598268,3.014683103,3.014683103,2.166352132,17473.4,2.166352132,17473.4
TPIC,-7.35,-6.46,-2.53,-2.23,0.8899999999999997,0.2999999999999998,16879.6,2.153548624,-4695.50792870129,1.9045,5.531892343999999,17.86903866466517,2.153548624,2.153548624,2.0927328079999996,16879.6,2.0927328079999996,16879.6
Y1-4F,-7.52,-6.65,-2.81,-2.5,0.8699999999999992,0.31000000000000005,16607.7,2.470116018,-4550.327040509144,5.50185,6.534387429000001,21.09303516414601,2.470116018,2.470116018,2.059022646,16607.7,2.059022646,16607.7
Y1,-7.24,-6.4,-2.65,-2.39,0.8399999999999999,0.2599999999999998,15205.1,1.089462461,-4860.416821146415,3.3325,5.790596854,21.79983075704889,1.089462461,1.089462461,1.885128298,15205.1,1.885128298,15205.1
Y11,-7.47,-6.62,-2.75,-2.46,0.8499999999999996,0.29000000000000004,16631.6,2.332874763,-4707.367906795349,6.12202,6.684495942,22.283521792852223,2.332874763,2.332874763,2.0619857679999996,16631.6,2.0619857679999996,16631.6
Y14,-7.34,-6.51,-2.58,-2.31,0.8300000000000001,0.27,16999.8,2.295306949,-4744.658150235578,4.86804,6.2783449959999995,19.65731338659388,2.295306949,2.295306949,2.1076352039999997,16999.8,2.1076352039999997,16999.8
Y15,-7.48,-6.6,-2.77,-2.48,0.8800000000000008,0.29000000000000004,16400.9,2.429034191,-6148.683316168564,5.94544,6.643793650000001,22.12594657490637,2.429034191,2.429034191,2.033383582,16400.9,2.033383582,16400.9
Y16,-7.41,-6.48,-2.57,-2.28,0.9299999999999997,0.29000000000000004,16868.6,2.367558699,-4310.817259506381,6.16556,6.242469425,20.93691035810599,2.367558699,2.367558699,2.0913690279999995,16868.6,2.0913690279999995,16868.6
Y2,-7.36,-6.5,-2.68,-2.37,0.8600000000000003,0.31000000000000005,16313.7,2.432335371,-4795.247449887895,5.40993,6.066012839000001,18.191375465363496,2.432335371,2.432335371,2.022572526,16313.7,2.022572526,16313.7
Y5,-7.48,-6.52,-2.56,-2.34,0.9600000000000009,0.2200000000000002,16806.0,1.574573796,-4575.073884205068,2.95668,5.97587582,21.104776586561098,1.574573796,1.574573796,2.0836078799999997,16806.0,2.0836078799999997,16806.0
Y6,-7.69,-6.74,-2.79,-2.51,0.9500000000000002,0.28000000000000025,16944.9,2.301944449,-4971.629833699295,1.43994,6.3199884520000005,20.19923640943515,2.301944449,2.301944449,2.100828702,16944.9,2.100828702,16944.9
ZY-4Cl,-7.48,-6.53,-2.28,-1.89,0.9500000000000002,0.3899999999999999,19057.6,2.114920301,-6116.268927633009,1.18893,4.780278716999999,20.806296978742832,2.114920301,2.114920301,2.3627612479999995,19057.6,2.3627612479999995,19057.6
i-cc23,-7.43,-6.43,-2.24,-2.08,1.0,0.16000000000000014,20324.1,0.336258107,-5984.640401130921,5.959,5.55641309,9.351106635776885,0.008350209,1.0479768,2.5197819179999996,20324.1,3.418215386,27570.7
i-cc34,-7.54,-6.51,-2.41,-2.19,1.0300000000000002,0.2200000000000002,19145.3,0.788697071,-5984.633504881368,6.07572,5.147612522999999,8.083102646199732,0.007737063,1.251365624,2.3736342939999995,19145.3,3.558560746,28702.7
o-IO1,-7.25,-6.45,-2.68,-2.58,0.7999999999999998,0.10000000000000009,16358.5,2.420328928,-5055.684838535482,7.78513,6.0543999,17.88278965005399,2.420328928,2.420328928,2.0281268299999997,16358.5,2.0281268299999997,16358.5
o-IO2,-7.03,-6.33,-2.74,-2.55,0.7000000000000002,0.1900000000000004,14919.3,2.741436767,-5052.307034925621,5.80305,5.943080505,17.158247971660483,2.741436767,2.741436767,1.8496948139999998,14919.3,1.8496948139999998,14919.3
p-IO1,-7.16,-6.4,-2.65,-2.53,0.7599999999999998,0.1200000000000001,16209.9,2.36415103,-5743.136224784997,9.29737,6.184525836000001,18.5795583402901,2.36415103,2.36415103,2.009703402,16209.9,2.009703402,16209.9
p-IO2,-7.08,-6.38,-2.64,-2.52,0.7000000000000002,0.1200000000000001,16140.1,2.342779326,-5818.26305715523,8.53309,6.188348416,20.095607794586545,2.342779326,2.342779326,2.001049598,16140.1,2.001049598,16140.1
